bab;B;b;babbazsalikomborsikafűburgonyacéklacukkinikakukkfűkporkáposztákkarfiolkelbimbókukorica;fokhagymakaralábé
bazsalikom;BA;ba;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
borsikafű;BO;br;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
borsó;BR;br;babbazsalikomborsikafűborsóburgonyacéklacukkinikakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;fokhagyma
burgonya;BU;bu;babbazsalikomborsikafűborsóburgonyacéklakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;cukkini
cékla;C;c;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
cukkini;CU;cu;babbazsalikomborsikafűborsócéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;burgonya
fokhagyma;F;f;bazsalikomborsikafűburgonyacéklacukkinifokhagymakakukkfűkaporkaralábékarfiolelbimbókukorica;babborsókáposzták
kakukkfű;K;k;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
kapor;KA;ka;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
káposzták;KP;kp;babbazsalikomborsikafűborsóburgonyacéklacukkinikakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;fokhagyma
karalábé;KR;kr;bazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;bab
karfiol;KF;kf;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
kelbimbó;KB;kb;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
kukorica;KK;kk;babbazsalikomborsikafűborsóburgonyacéklacukkinifokhagymakakukkfűkaporkáposztákkaralábékarfiolelbimbókukorica;
Gyökér;GY;gy;sdfsdfsdf;sdfsdfsdf
dfsdf;23;34;21dfg;dgdfg
